Name,Version,Download URL,Package URL,License,Description
attica,5.50.0,http://download.kde.org/stable/frameworks/5.50/attica-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/attica/repository,LGPLv2.1+,Open Collaboration Services API
baloo,5.50.0,http://download.kde.org/stable/frameworks/5.50/baloo-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/baloo/repository,LGPLv2.1+,Baloo is a file indexing and searching framework
bluez-qt,5.50.0,http://download.kde.org/stable/frameworks/5.50/bluez-qt-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/bluez-qt/repository,LGPLv2.1+,Qt wrapper for BlueZ 5 DBus API
breeze-icons,5.50.0,http://download.kde.org/stable/frameworks/5.50/breeze-icons-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/breeze-icons/repository,LGPLv2.1+,Breeze icon theme
extra-cmake-modules,5.50.0,http://download.kde.org/stable/frameworks/5.50/extra-cmake-modules-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/extra-cmake-modules/repository,LGPLv2.1+,Extra CMake modules
frameworkintegration,5.50.0,http://download.kde.org/stable/frameworks/5.50/frameworkintegration-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/frameworkintegration/repository,LGPLv2.1+,Workspace and cross-framework integration plugins
kactivities,5.50.0,http://download.kde.org/stable/frameworks/5.50/kactivities-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kactivities/repository,LGPLv2.1+,Runtime and library to organize the user work in separate activities
kactivities-stats,5.50.0,http://download.kde.org/stable/frameworks/5.50/kactivities-stats-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kactivities-stats/repository,LGPLv2.1+,A library for accessing the usage data collected by the activities system.
karchive,5.50.0,http://download.kde.org/stable/frameworks/5.50/karchive-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/karchive/repository,LGPLv2.1+,File compression
kauth,5.50.0,http://download.kde.org/stable/frameworks/5.50/kauth-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kauth/repository,LGPLv2.1+,Abstraction to system policy and authentication features
kbookmarks,5.50.0,http://download.kde.org/stable/frameworks/5.50/kbookmarks-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kbookmarks/repository,LGPLv2.1+,Support for bookmarks and the XBEL format
kcmutils,5.50.0,http://download.kde.org/stable/frameworks/5.50/kcmutils-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kcmutils/repository,LGPLv2.1+,Utilities for working with KCModules
kcodecs,5.50.0,http://download.kde.org/stable/frameworks/5.50/kcodecs-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kcodecs/repository,LGPLv2.1+,Text encoding
kcompletion,5.50.0,http://download.kde.org/stable/frameworks/5.50/kcompletion-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kcompletion/repository,LGPLv2.1+,Text completion helpers and widgets
kconfig,5.50.0,http://download.kde.org/stable/frameworks/5.50/kconfig-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kconfig/repository,LGPLv2.1+,Configuration system
kconfigwidgets,5.50.0,http://download.kde.org/stable/frameworks/5.50/kconfigwidgets-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kconfigwidgets/repository,LGPLv2.1+,Widgets for configuration dialogs
kcoreaddons,5.50.0,http://download.kde.org/stable/frameworks/5.50/kcoreaddons-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kcoreaddons/repository,LGPLv2.1+,Addons to QtCore
kcrash,5.50.0,http://download.kde.org/stable/frameworks/5.50/kcrash-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kcrash/repository,LGPLv2.1+,Support for application crash analysis and bug report from apps
kdbusaddons,5.50.0,http://download.kde.org/stable/frameworks/5.50/kdbusaddons-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kdbusaddons/repository,LGPLv2.1+,Addons to QtDBus
kdeclarative,5.50.0,http://download.kde.org/stable/frameworks/5.50/kdeclarative-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kdeclarative/repository,LGPLv2.1+,Provides integration of QML and KDE Frameworks
kded,5.50.0,http://download.kde.org/stable/frameworks/5.50/kded-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kded/repository,LGPLv2.1+,Extensible deamon for providing system level services
kdelibs4support,5.50.0,http://download.kde.org/stable/frameworks/5.50/kdelibs4support-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kdelibs4support/repository,LGPLv2.1+,Porting aid from KDELibs4
kdesignerplugin,5.50.0,http://download.kde.org/stable/frameworks/5.50/kdesignerplugin-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kdesignerplugin/repository,LGPLv2.1+,Integration of Frameworks widgets in Qt Designer/Creator
kdesu,5.50.0,http://download.kde.org/stable/frameworks/5.50/kdesu-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kdesu/repository,LGPLv2.1+,Integration with su for elevated privileges
kdewebkit,5.50.0,http://download.kde.org/stable/frameworks/5.50/kdewebkit-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kdewebkit/repository,LGPLv2.1+,KDE Integration for QtWebKit
kdnssd,5.50.0,http://download.kde.org/stable/frameworks/5.50/kdnssd-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kdnssd/repository,LGPLv2.1+,Abstraction to system DNSSD features
kdoctools,5.50.0,http://download.kde.org/stable/frameworks/5.50/kdoctools-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kdoctools/repository,LGPLv2.1+,Documentation generation from docbook
