Name,Version,Proj Download URL,Pjoject URL,PkgVer Download Link,License,Description
attica,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/attica-5.58.0.tar.xz,LGPLv2.1+,Open Collaboration Services API
baloo,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/baloo-5.58.0.tar.xz,LGPLv2.1+,Baloo is a file indexing and searching framework
bluez-qt,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/bluez-qt-5.58.0.tar.xz,LGPLv2.1+,Qt wrapper for BlueZ 5 DBus API
breeze-icons,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/breeze-icons-5.58.0.tar.xz,LGPLv2.1+,Breeze icon theme
extra-cmake-modules,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/extra-cmake-modules-5.58.0.tar.xz,LGPLv2.1+,Extra CMake modules
frameworkintegration,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/frameworkintegration-5.58.0.tar.xz,LGPLv2.1+,Workspace and cross-framework integration plugins
kactivities,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kactivities-5.58.0.tar.xz,LGPLv2.1+,Runtime and library to organize the user work in separate activities
kactivities-stats,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kactivities-stats-5.58.0.tar.xz,LGPLv2.1+,A library for accessing the usage data collected by the activities system.
karchive,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/karchive-5.58.0.tar.xz,LGPLv2.1+,File compression
kauth,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kauth-5.58.0.tar.xz,LGPLv2.1+,Abstraction to system policy and authentication features
kbookmarks,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kbookmarks-5.58.0.tar.xz,LGPLv2.1+,Support for bookmarks and the XBEL format
kcmutils,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kcmutils-5.58.0.tar.xz,LGPLv2.1+,Utilities for working with KCModules
kcodecs,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kcodecs-5.58.0.tar.xz,LGPLv2.1+,Text encoding
kcompletion,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kcompletion-5.58.0.tar.xz,LGPLv2.1+,Text completion helpers and widgets
kconfig,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kconfig-5.58.0.tar.xz,LGPLv2.1+,Configuration system
kconfigwidgets,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kconfigwidgets-5.58.0.tar.xz,LGPLv2.1+,Widgets for configuration dialogs
kcoreaddons,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kcoreaddons-5.58.0.tar.xz,LGPLv2.1+,Addons to QtCore
